level1	level2	level3	function	ERR599063	ERR599115	ERR599105	ERR3589586	ERR599052	ERR598981	ERR599048	ERR3589593	ERR598964	ERR599020	ERR599125	ERR598963	ERR598989	ERR599076	ERR599176
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	puuA; gamma-glutamylputrescine synthase [EC:6.3.1.11]	5	28	0	0	13	28	13	18	25	32	14	17	2	0	43
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"	291	412	240	17	243	378	208	265	291	305	309	228	224	9	818
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	"puuC, aldH; gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [EC:1.2.1.-]"	767	775	276	0	772	566	295	802	487	506	745	405	557	3	644
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	1	0	2	0	0	3	0	1	1	0	1	0	0	0	0
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]	314	712	164	0	247	807	314	319	616	606	593	302	305	9	64
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	pvdE; putative ATP-binding cassette transporter	4	11	1	0	4	14	31	8	2	7	15	4	2	0	1
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"	5463	5256	3367	6	5207	4942	4461	4436	6171	5480	3630	4896	5215	61	5050
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2]	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	4478	3939	3214	4	4733	3664	3623	3769	3881	3936	2759	3601	4017	3	6080
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	3531	1604	2187	0	2834	2011	2352	1883	1749	2430	1293	1822	3169	0	2987
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	1968	1392	1294	5	2310	1550	1572	2030	1133	1762	1349	1571	1974	6	3412
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	pyrH; uridylate kinase [EC:2.7.4.22]	4065	3055	2236	0	3242	2531	2801	2955	2943	2901	2307	2394	3551	7	2563
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	pyrI; aspartate carbamoyltransferase regulatory subunit	7	479	9	0	10	159	167	272	441	287	195	78	12	0	0
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	535	614	732	0	742	854	757	465	668	582	496	508	571	0	731
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit	0	44	2	0	9	0	20	8	16	13	7	0	0	0	0
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit	8	96	18	0	29	24	41	18	43	18	45	13	13	0	2
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit	1	24	2	0	0	1	3	2	8	3	6	0	0	0	5
Metabolism	Energy metabolism	00680 Methane metabolism [PATH:ko00680]	qhpA; quinohemoprotein amine dehydrogenase [EC:1.4.9.1]	3	29	4	0	10	3	13	13	23	16	15	2	6	0	4
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:1.10.3.12]	9	4	1	0	17	1	2	0	2	1	0	4	13	0	0
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:1.10.3.12]	15	41	14	0	5	38	21	24	53	32	43	25	17	0	0
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:1.10.3.12]	2	4	3	0	0	9	5	1	11	4	9	3	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"qseB; two-component system, OmpR family, response regulator QseB"	5	18	3	0	3	4	6	3	13	3	4	2	3	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	16	48	19	0	12	27	90	32	18	32	9	7	6	0	3
Metabolism	Amino acid metabolism	"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	quiA; quinate dehydrogenase (quinone) [EC:1.1.5.8]	21	49	23	0	36	48	23	52	57	42	49	54	36	0	12
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"raxB, cvaB; ATP-binding cassette, subfamily B, bacterial RaxB"	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0
Organismal Systems	Environmental adaptation	04626 Plant-pathogen interaction [PATH:ko04626]	raxST; sulfotransferase	2	1	1	0	3	0	2	0	0	0	0	1	2	0	0
Metabolism	Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	1352	894	1579	0	834	1499	1244	394	396	1178	527	419	1612	0	547
Metabolism	Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	562	156	737	0	364	138	493	210	129	216	251	228	690	0	461
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]	656	825	369	0	615	741	465	661	789	662	830	510	556	0	330
Cellular Processes	Cell motility	02030 Bacterial chemotaxis [PATH:ko02030]	rbsB; ribose transport system substrate-binding protein	171	324	76	0	158	143	155	155	241	155	188	97	87	0	92
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rbsC; ribose transport system permease protein	278	384	191	28	268	225	222	331	354	251	344	241	199	0	289
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rbsD; D-ribose pyranase [EC:5.-.-.-]	0	3	5	0	0	0	0	0	3	1	3	0	1	0	3
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	"rbsK, RBKS; ribokinase [EC:2.7.1.15]"	1055	332	1142	0	1005	373	1272	232	269	459	333	433	976	0	141
Cellular Processes	Cell growth and death	04112 Cell cycle - Caulobacter [PATH:ko04112]	rcdA; regulator of CtrA degradation	2	15	1	0	0	2	7	2	15	0	3	4	0	0	2
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rcp1; two-component system, chemotaxis family, response regulator Rcp1"	0	0	0	0	1	1	2	0	3	0	0	0	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rcsB; two-component system, NarL family, captular synthesis response regulator RcsB"	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]"	2	24	4	0	3	13	20	19	10	5	10	1	2	0	35
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	rcsF; RcsF protein	0	2	0	0	0	0	0	1	0	0	12	0	0	0	0
Metabolism	Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	rdgB; dITP/XTP pyrophosphatase [EC:3.6.1.19]	1142	803	1187	4	1545	952	1309	861	709	780	860	817	1033	1	1360
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recA; recombination protein RecA	9701	5303	5280	384	8970	7169	6124	5486	5885	6709	4565	7172	9548	54	8429
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	824	484	3475	1	2770	598	2924	427	238	633	344	826	1171	11	208
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]	308	361	2963	0	2698	436	2623	272	126	456	250	721	713	0	141
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	603	511	1596	1	1520	613	1699	446	385	492	546	415	636	3	157
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recF; DNA replication and repair protein RecF	1170	291	1043	0	1407	423	1072	425	293	660	324	552	971	1	812
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]	7209	3718	4732	87	7289	5341	5409	4794	4187	5004	3316	5176	6777	5	8831
Genetic Information Processing	Replication and repair	03410 Base excision repair [PATH:ko03410]	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	1342	1567	746	0	2218	2051	1552	2683	1582	1677	1530	1066	975	0	6129
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recO; DNA repair protein RecO (recombination protein O)	961	233	1032	0	1123	250	878	467	268	443	182	440	1023	1	1413
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]	2538	1420	765	5	2331	1400	2248	2416	1346	1729	2064	1419	1592	138	4179
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	recR; recombination protein RecR	2714	1441	1661	1	2637	1870	1928	1504	1558	1885	1265	2112	2719	4	3100
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"regX3; two-component system, OmpR family, response regulator RegX3"	13	44	40	0	20	115	41	34	25	38	44	77	12	0	18
Metabolism	Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	relA; GTP pyrophosphokinase [EC:2.7.6.5]	5518	3244	3475	2	4654	3874	4818	3080	3414	3899	2932	3556	4775	41	3508
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"resD; two-component system, OmpR family, response regulator ResD"	17	14	3	0	15	26	10	17	17	18	8	19	5	0	4
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"resE; two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]"	4	10	2	0	4	10	6	5	10	11	10	11	2	0	2
Metabolism	Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	"rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"	1117	1515	714	0	1170	1802	1259	1421	1444	1548	1219	723	977	2	1287
Metabolism	Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	378	570	252	1	449	667	502	524	451	501	462	299	367	0	674
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	rfbE; CDP-paratose 2-epimerase [EC:5.1.3.10]	338	427	358	0	354	623	417	364	559	546	445	377	418	0	211
Metabolism	Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	1367	2041	913	23	1438	2183	1449	1755	2212	1842	1416	1062	1201	69	1723
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	"rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"	1162	1732	680	0	1121	1773	1112	1382	1727	1577	1233	938	959	0	1606
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	rfbH; CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase	740	799	565	0	943	1169	534	888	817	986	522	637	707	0	1111
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	"rfk; riboflavin kinase, archaea type [EC:2.7.1.161]"	0	579	0	0	0	137	198	339	479	249	194	48	0	0	0
Metabolism	Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	rhaA; L-rhamnose isomerase [EC:5.3.1.14]	17	84	1	0	123	95	11	82	15	35	89	11	14	0	0
Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rhaB; rhamnulokinase [EC:2.7.1.5]	10	89	7	0	35	66	25	46	58	37	108	19	7	0	1
Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rhaP; rhamnose transport system permease protein	50	12	4	0	144	3	8	11	19	16	3	9	26	0	53
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rhaQ; rhamnose transport system permease protein	20	8	2	0	152	2	12	29	17	12	6	14	23	0	53
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rhaS1; rhamnose transport system substrate-binding protein	96	13	8	0	222	8	12	31	21	33	13	27	62	0	48
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	rhaT; rhamnose transport system ATP-binding protein [EC:3.6.3.17]	48	31	10	0	197	11	14	25	21	30	4	19	76	0	94
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]	276	448	204	24	250	785	716	623	424	458	421	139	107	3	749
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	811	1612	363	69	2565	1519	1311	3238	1232	1305	2605	866	699	9	4587
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	rho; transcription termination factor Rho	11310	6787	5126	19	10531	9468	6358	7278	7777	8370	5986	8885	11300	9	11465
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	"ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"	7772	4397	4541	3	6689	4836	5257	4697	4918	5224	4043	5706	7427	7	5627
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]	29	3	9	0	36	10	9	6	2	11	6	15	21	0	5
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	108	262	507	0	500	120	422	193	253	171	121	137	173	0	4
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	2415	1035	1626	1	2389	1303	1666	1580	1036	1425	1048	1367	2293	2	2693
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"	1887	1466	1293	4	2002	1015	1558	1585	1438	1356	838	1356	1675	17	2029
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	2259	638	1523	1	2517	844	1397	1266	663	1184	561	1413	2126	3	3419
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism [PATH:ko00740]	"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"	1333	1168	943	5	1305	1306	1271	1205	1239	1261	960	931	1388	7	1890
Metabolism	Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	rihB; ribosylpyrimidine nucleosidase [EC:3.2.2.8]	12	13	3	0	8	25	10	18	29	20	7	13	33	0	2
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	rne; ribonuclease E [EC:3.1.26.12]	6695	2960	4709	93	6791	3928	4577	3697	3414	4136	2389	4601	6553	42	7056
Genetic Information Processing	Replication and repair	03030 DNA replication [PATH:ko03030]	rnhA-dnaQ; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]	68	17	18	0	64	15	29	26	16	45	24	13	37	0	25
Genetic Information Processing	Replication and repair	03030 DNA replication [PATH:ko03030]	rnhB; ribonuclease HII [EC:3.1.26.4]	1882	1288	1323	8	1981	1383	1736	1795	1363	1464	1226	1567	1884	7	2720
Genetic Information Processing	Replication and repair	03030 DNA replication [PATH:ko03030]	rnhC; ribonuclease HIII [EC:3.1.26.4]	21	17	6	0	67	25	6	22	13	4	15	0	6	0	1
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	rnj; ribonuclease J [EC:3.1.-.-]	1676	283	2094	0	1443	343	1584	132	411	541	276	541	1985	0	66
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"rnr, vacB; ribonuclease R [EC:3.1.-.-]"	2831	1706	2628	0	2800	2048	3276	2394	1411	2171	1678	1477	2184	0	4195
Genetic Information Processing	Translation	03013 RNA transport [PATH:ko03013]	rnz; ribonuclease Z [EC:3.1.26.11]	922	1006	879	0	933	517	1011	824	951	763	501	636	872	0	478
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rpaA; two-component system, OmpR family, response regulator RpaA"	1276	6	1134	1	915	115	945	15	6	309	4	291	1283	1	1
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rpaB; two-component system, OmpR family, response regulator RpaB"	772	54	796	0	452	128	606	40	45	229	55	205	878	0	39
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"	4381	2595	2615	0	4336	3160	2841	2725	2713	3166	2198	3472	3953	0	4628
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rpfC; two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]"	4	9	4	0	0	14	10	12	3	4	7	1	2	0	1
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	rpfF; DSF synthase	0	13	0	0	1	3	5	0	7	4	5	0	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rpfG; two-component system, response regulator RpfG"	5	15	3	0	1	12	16	8	5	3	5	3	5	0	7
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	1649	1311	1643	9	1553	1308	1892	1484	1053	1393	997	927	1728	0	1372
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	881	493	397	7	988	829	466	653	675	690	484	811	812	0	1125
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	197	2630	277	0	253	867	934	1376	2245	1543	1154	1004	342	0	14
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"	61	4821	59	0	74	1270	1580	2929	4429	2497	1863	957	126	0	3
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	7286	3508	4241	5	6840	4697	4368	3998	3877	4708	2960	4787	6878	63	6415
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]	101	724	194	1	168	269	279	395	602	482	302	448	221	0	13
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]"	27	154	39	0	32	103	56	81	99	97	108	159	57	0	1
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	30712	16163	16868	412	27076	20939	18150	17429	17590	20217	14131	22173	30301	32	26544
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]	11590	5026	7710	72	11269	7308	7583	5755	5709	7134	4569	7538	11692	52	10765
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	33660	16437	19309	283	30559	22075	20424	18345	18265	21678	14182	23655	33496	10	27880
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	1	426	0	0	1	129	147	360	420	205	184	80	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	8	884	9	0	1	235	266	438	720	426	306	168	3	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	"rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"	1	93	2	0	0	19	22	67	62	33	39	9	4	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoE; DNA-directed RNA polymerase subunit delta	0	0	2	0	0	1	8	0	0	0	3	1	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]	0	330	0	0	0	91	116	189	236	156	112	62	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]	0	298	0	0	0	106	106	185	281	147	124	71	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	2	37	1	0	0	9	10	2	35	27	15	3	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	0	22	0	0	0	14	4	118	23	7	22	17	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	2	123	8	0	8	49	39	87	132	84	57	39	1	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]	0	42	0	0	0	12	12	51	26	18	16	5	0	0	0
Genetic Information Processing	Transcription	03020 RNA polymerase [PATH:ko03020]	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	1433	378	901	0	1378	585	811	626	413	723	283	934	1390	0	1658
Cellular Processes	Cell growth and death	04112 Cell cycle - Caulobacter [PATH:ko04112]	rseP; regulator of sigma E protease [EC:3.4.24.-]	3144	1426	1625	10	2935	1981	1922	1878	1732	2005	1171	2552	3025	8	4072
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rstA; two-component system, OmpR family, response regulator RstA"	16	101	59	0	2	29	101	183	17	23	58	0	4	0	75
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"rstB; two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"	5	72	48	0	21	43	48	40	25	27	32	17	6	0	22
Human Diseases	Infectious diseases	05110 Vibrio cholerae infection [PATH:ko05110]	rtxA; RTX toxin RtxA	1	4	0	0	0	0	0	0	0	0	0	0	6	0	0
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]	451	357	750	9	1006	481	809	498	339	463	354	377	428	0	983
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]	3189	2954	1918	2870	2869	3998	3105	2907	2999	3048	2973	2268	2615	2	2836
Genetic Information Processing	Replication and repair	03440 Homologous recombination [PATH:ko03440]	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	1686	570	1039	15	1927	795	1022	971	765	900	621	1246	1553	3	2396
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	sacB; levansucrase [EC:2.4.1.10]	0	2	0	0	0	0	6	12	3	1	0	0	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"saeR; two-component system, OmpR family, response regulator SaeR"	0	1	1	0	0	0	0	0	0	3	3	0	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"saeS; two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"sasA; two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]"	1496	17	1262	0	1089	86	965	0	6	339	1	374	1561	0	0
Human Diseases	Infectious diseases	05150 Staphylococcus aureus infection [PATH:ko05150]	sasG; surface protein G	0	2	3	0	0	2	15	4	7	4	10	2	1	0	1
Human Diseases	Infectious diseases	05134 Legionellosis [PATH:ko05134]	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	15268	11192	7483	61	13190	10951	8942	10410	11468	12150	7790	12602	15219	28	13315
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]	4676	2591	2446	19	3784	3236	2558	3257	2878	3471	2289	4044	4272	15	4191
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	sdhC; succinate dehydrogenase cytochrome b556 subunit	727	1151	344	0	740	473	728	831	1069	793	616	677	631	0	1108
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	sdhD; succinate dehydrogenase membrane anchor subunit	212	101	147	0	197	105	211	186	120	142	78	228	218	0	501
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	sdiA; LuxR family transcriptional regulator	0	13	1	0	6	0	1	0	14	3	0	0	0	0	9
Human Diseases	Infectious diseases	05150 Staphylococcus aureus infection [PATH:ko05150]	sdrC_D_E; serine-aspartate repeat-containing protein C/D/E	1	3	10	0	3	11	16	101	4	6	8	5	8	0	2
